n_week	date	acc	fpr	fnr
### selftrain-all
0	220117	0.9848	0.0000	0.0849
1	220425	0.9900	0.0000	0.0244
2	220502	0.9927	0.0000	0.0140
3	220530	0.9943	0.0000	0.0097
4	220606	0.9953	0.0000	0.0074
5	220613	0.9960	0.0000	0.0060
6	220620	0.9965	0.0000	0.0051
7	220704	0.9969	0.0000	0.0043
result:

### train-all
0	all	0.9854	0.0887	0.0000

### selftrain-95
0	220117	0.9848	0.0000	0.0849
1	220425	0.9890	0.0000	0.0272
2	220425	0.9893	0.0000	0.0252
3	220425	0.9894	0.0000	0.0248
4	220502	0.9920	0.0000	0.0143
5	220502	0.9920	0.0000	0.0143
6	220530	0.9936	0.0000	0.0098
7	220530	0.9936	0.0000	0.0098
8	220606	0.9947	0.0000	0.0075
9	220613	0.9954	0.0000	0.0061
10	220620	0.9960	0.0000	0.0051
11	220704	0.9965	0.0000	0.0044
12	220704	0.9965	0.0000	0.0044
13	220704	0.9965	0.0000	0.0044
result: 0.877246524245507, 0.0, 0.14691558441558442

### selftrain-99
0	220117	0.9848	0.0000	0.0849
1	220425	0.9885	0.0000	0.0299
2	220425	0.9889	0.0000	0.0275
3	220425	0.9890	0.0000	0.0270
4	220502	0.9915	0.0000	0.0158
5	220502	0.9915	0.0000	0.0155
6	220502	0.9915	0.0000	0.0155
7	220502	0.9916	0.0000	0.0155
8	220502	0.9916	0.0000	0.0154
9	220530	0.9933	0.0000	0.0106
10	220530	0.9933	0.0000	0.0106
11	220530	0.9933	0.0000	0.0106
12	220606	0.9944	0.0000	0.0080
13	220606	0.9944	0.0000	0.0080
14	220606	0.9944	0.0000	0.0080
15	220613	0.9952	0.0000	0.0065
16	220613	0.9952	0.0000	0.0065
17	220620	0.9958	0.0000	0.0054
18	220704	0.9963	0.0000	0.0046
19	220704	0.9963	0.0000	0.0046
result: 0.8799593082400814, 0.0, 0.14366883116883117

### selftrain-97
0	220117	0.9848	0.0000	0.0849
1	220425	0.9888	0.0000	0.0284
2	220425	0.9891	0.0000	0.0265
3	220425	0.9891	0.0000	0.0263
4	220425	0.9892	0.0000	0.0260
5	220425	0.9892	0.0000	0.0258
6	220425	0.9892	0.0000	0.0257
7	220502	0.9918	0.0000	0.0149
8	220502	0.9918	0.0000	0.0148
9	220502	0.9918	0.0000	0.0148
10	220502	0.9918	0.0000	0.0147
11	220530	0.9935	0.0000	0.0101
12	220530	0.9935	0.0000	0.0101
13	220530	0.9935	0.0000	0.0101
14	220606	0.9946	0.0000	0.0077
15	220606	0.9946	0.0000	0.0077
16	220613	0.9954	0.0000	0.0062
17	220620	0.9960	0.0000	0.0052
18	220704	0.9964	0.0000	0.0045
19	220704	0.9964	0.0000	0.0045
result: 0.8724991522550017, 0.0, 0.1525974025974026

### selftrain-99-base0.5
0	220117	0.9848	0.0000	0.0849
1	220425	0.9885	0.0000	0.0301
2	220425	0.9889	0.0000	0.0274
3	220425	0.9891	0.0000	0.0264
4	220425	0.9891	0.0000	0.0262
5	220425	0.9891	0.0000	0.0262
6	220502	0.9917	0.0000	0.0152
7	220502	0.9917	0.0000	0.0152
8	220502	0.9917	0.0000	0.0152
9	220502	0.9917	0.0000	0.0151
10	220530	0.9933	0.0000	0.0106
11	220530	0.9933	0.0000	0.0105
12	220606	0.9944	0.0000	0.0080
13	220606	0.9944	0.0000	0.0080
14	220613	0.9952	0.0000	0.0065
15	220613	0.9952	0.0000	0.0065
16	220620	0.9958	0.0000	0.0055
17	220620	0.9958	0.0000	0.0055
18	220704	0.9963	0.0000	0.0047
0	all	0.9854	0.0887	0.0000
0	220117	0.9848	0.0000	0.0849
0	220117	0.9848	0.0000	0.0849
0	220117	0.9848	0.0000	0.0849
0	220117	0.9848	0.0000	0.0849
